Judul,Link,Prediksi Kategori
Kebahagiaan Asila Maisa Usai Pelantikan Ramzi Sebagai Wakil Bupati Cianjur,No link,Politik (non-hoax)
"Sekjen PDIP Hasto Ditahan KPK, Tangannya Diborgol",No link,Politik (non-hoax)
Kesejahteraan dan Integrasi Politik,No link,Politik (non-hoax)
Teka-teki Sosok Si Ndablek,No link,Umum (non-hoax)
Beda-beda Komentar soal 'Koalisi Permanen' Prabowo,No link,Politik (non-hoax)
Kelakar Shanty soal Penampilan Denny Cagur Jadi Anggota DPR: Kayak Kondangan,No link,Politik (non-hoax)
"Pakai Sarung-Peci, Kaesang Sowan ke Cak Imin di DPP PKB",No link,Politik (non-hoax)
Relawan Prabowo-Gibran Penuhi Stadion Gelora Delta Sidoarjo,No link,Umum (non-hoax)
Begini Situasi Kampanye Akbar Ganjar Pranowo di GOR Delta Sidoarjo,No link,Politik (non-hoax)
Giliran Nelayan Brebes yang Curhat ke Ganjar,No link,Politik (non-hoax)
